screen_name,favorite_count,retweet_count,followers_count
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,1,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,1,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,1,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,1,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,1,3,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,2,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,1,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,1,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,1,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,1,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,1,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,1,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,1,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,1,3,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,1,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,1,2,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,1,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,1,0,2073
DataScientistsF,0,1,2073
DataScientistsF,1,0,2073
DataScientistsF,1,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,1,2,2073
DataScientistsF,1,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,1,1,2073
DataScientistsF,1,1,2073
DataScientistsF,0,0,2073
DataScientistsF,2,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,1,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,1,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,1,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,2,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,1,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,1,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,1,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,1,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,1,2,2073
DataScientistsF,1,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,3,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,0,1,2073
DataScientistsF,2,2,2073
DataScientistsF,0,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,1,1,2073
DataScientistsF,0,0,2073
DataScientistsF,0,1,2073
DataScientistsF,0,2,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
DataScientistsF,0,0,2073
